------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |   eval  |      0.9878  |     0.9492  |   0.9249  |       0.9355  |              3.0252  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4287  |     0.6992  |   0.6723  |               |              0.3157  |
|          |      1  |      1.2637  |     0.8105  |   0.7297  |               |              0.6271  |
|          |      2  |      1.2432  |     0.8135  |   0.5930  |               |              0.9379  |
|          |      3  |      1.2100  |     0.8311  |   0.7718  |               |              1.2163  |
|          |      4  |      1.1533  |     0.8633  |   0.8560  |               |              1.4949  |
|          |      5  |      1.1582  |     0.8545  |   0.8164  |               |              1.7733  |
|          |      6  |      1.0410  |     0.9229  |   0.8743  |               |              2.0523  |
|          |      7  |      1.0586  |     0.9141  |   0.8902  |               |              2.3318  |
|          |      8  |      0.9966  |     0.9512  |   0.9118  |               |              2.6108  |
|          |      9  |      0.9702  |     0.9619  |   0.9235  |               |              2.8681  |
|          |   eval  |      0.9702  |     0.9619  |   0.9235  |       0.9310  |              2.9934  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4229  |     0.7295  |   0.6653  |               |              0.3145  |
|          |      1  |      1.3066  |     0.7666  |   0.7441  |               |              0.6247  |
|          |      2  |      1.2031  |     0.8438  |   0.7566  |               |              0.9374  |
|          |      3  |      1.1797  |     0.8477  |   0.7607  |               |              1.2159  |
|          |      4  |      1.1836  |     0.8350  |   0.8283  |               |              1.4926  |
|          |      5  |      1.1143  |     0.8799  |   0.8365  |               |              1.7701  |
|          |      6  |      1.0771  |     0.9014  |   0.8655  |               |              2.0477  |
|          |      7  |      1.0459  |     0.9170  |   0.8888  |               |              2.3266  |
|          |      8  |      1.0098  |     0.9434  |   0.9161  |               |              2.6045  |
|          |      9  |      0.9688  |     0.9648  |   0.9228  |               |              2.8622  |
|          |   eval  |      0.9688  |     0.9648  |   0.9228  |       0.9339  |              2.9882  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4092  |     0.7168  |   0.6471  |               |              0.3154  |
|          |      1  |      1.2812  |     0.7910  |   0.7445  |               |              0.6260  |
|          |      2  |      1.2227  |     0.8311  |   0.7731  |               |              0.9391  |
|          |      3  |      1.2031  |     0.8262  |   0.7039  |               |              1.2155  |
|          |      4  |      1.1328  |     0.8643  |   0.8595  |               |              1.4941  |
|          |      5  |      1.1104  |     0.8887  |   0.8354  |               |              1.7725  |
|          |      6  |      1.0820  |     0.9043  |   0.8706  |               |              2.0518  |
|          |      7  |      1.0312  |     0.9316  |   0.8811  |               |              2.3309  |
|          |      8  |      0.9927  |     0.9561  |   0.9087  |               |              2.6103  |
|          |      9  |      0.9727  |     0.9648  |   0.9253  |               |              2.8660  |
|          |   eval  |      0.9727  |     0.9648  |   0.9253  |       0.9320  |              2.9922  |
------------------------------------------------------------------------------------------------------
Mean accuracy: 0.9322    Std: 0.0017
Mean training time (s): 2.8709    Std: 0.0370
/workspace/ESE3060-Final-Project/logs/width_rebalance/20251209-023046/log.pt
