------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      2  |      1.1729  |     0.8545  |   0.8401  |               |              1.2621  |
|          |      3  |      1.1309  |     0.8936  |   0.8519  |               |              1.6494  |
|          |      4  |      1.0850  |     0.9072  |   0.8821  |               |              2.0367  |
|          |      5  |      1.0557  |     0.9277  |   0.8931  |               |              2.4236  |
|          |      6  |      1.0059  |     0.9492  |   0.9034  |               |              2.8108  |
|          |      7  |      1.0166  |     0.9473  |   0.9105  |               |              3.2300  |
|          |      8  |      0.9834  |     0.9648  |   0.9178  |               |              3.6503  |
|          |      9  |      0.9697  |     0.9775  |   0.9199  |               |              4.0368  |
|          |   eval  |      0.9697  |     0.9775  |   0.9199  |       0.9282  |              4.2080  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4004  |     0.7188  |   0.6724  |               |              0.4320  |
|          |      1  |      1.2617  |     0.7988  |   0.7538  |               |              0.8506  |
|          |      2  |      1.1543  |     0.8730  |   0.8316  |               |              1.2726  |
|          |      3  |      1.1006  |     0.9014  |   0.8725  |               |              1.6582  |
|          |      4  |      1.0967  |     0.8926  |   0.8688  |               |              2.0480  |
|          |      5  |      1.0430  |     0.9316  |   0.8972  |               |              2.4350  |
|          |      6  |      1.0176  |     0.9541  |   0.9065  |               |              2.8203  |
|          |      7  |      0.9976  |     0.9482  |   0.9011  |               |              3.2405  |
|          |      8  |      0.9883  |     0.9629  |   0.9142  |               |              3.6581  |
|          |      9  |      0.9644  |     0.9795  |   0.9175  |               |              4.0445  |
|          |   eval  |      0.9644  |     0.9795  |   0.9175  |       0.9278  |              4.2177  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4043  |     0.7217  |   0.6853  |               |              0.4209  |
|          |      1  |      1.2480  |     0.8184  |   0.7903  |               |              0.8414  |
|          |      2  |      1.1729  |     0.8662  |   0.8160  |               |              1.2623  |
|          |      3  |      1.1094  |     0.8955  |   0.8423  |               |              1.6484  |
|          |      4  |      1.0615  |     0.9199  |   0.8774  |               |              2.0367  |
|          |      5  |      1.0332  |     0.9414  |   0.8942  |               |              2.4207  |
|          |      6  |      1.0146  |     0.9502  |   0.9046  |               |              2.8081  |
|          |      7  |      0.9819  |     0.9736  |   0.9027  |               |              3.2278  |
|          |      8  |      0.9766  |     0.9727  |   0.9135  |               |              3.6465  |
|          |      9  |      0.9722  |     0.9746  |   0.9172  |               |              4.0334  |
|          |   eval  |      0.9722  |     0.9746  |   0.9172  |       0.9264  |              4.2061  |
------------------------------------------------------------------------------------------------------
Mean accuracy: 0.9273    Std: 0.0015
Mean training time (s): 3.9981    Std: 0.0369
/workspace/ESE3060-Final-Project/logs/whiten_unfreeze/20251209-022650/log.pt
