------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      1  |      1.7939  |     0.7881  |   0.7474  |               |              0.8365  |
|          |      2  |      1.7520  |     0.8320  |   0.7050  |               |              1.2611  |
|          |      3  |      1.7348  |     0.8389  |   0.8393  |               |              1.6458  |
|          |      4  |      1.7039  |     0.8701  |   0.8559  |               |              2.0344  |
|          |      5  |      1.6842  |     0.8848  |   0.8663  |               |              2.4200  |
|          |      6  |      1.6440  |     0.9287  |   0.8966  |               |              2.8054  |
|          |      7  |      1.3814  |     0.9199  |   0.8993  |               |              3.1935  |
|          |      8  |      0.6531  |     0.9463  |   0.9060  |               |              3.5796  |
|          |      9  |      0.1598  |     0.9727  |   0.9284  |               |              3.9365  |
|          |   eval  |      0.1598  |     0.9727  |   0.9284  |       0.9363  |              4.1094  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.8694  |     0.7061  |   0.6901  |               |              0.4209  |
|          |      1  |      1.7995  |     0.7803  |   0.7633  |               |              0.8376  |
|          |      2  |      1.7406  |     0.8467  |   0.6850  |               |              1.2605  |
|          |      3  |      1.7016  |     0.8799  |   0.8274  |               |              1.6459  |
|          |      4  |      1.7205  |     0.8428  |   0.8292  |               |              2.0349  |
|          |      5  |      1.6863  |     0.8770  |   0.8792  |               |              2.4205  |
|          |      6  |      1.6529  |     0.9180  |   0.8884  |               |              2.8085  |
|          |      7  |      1.3786  |     0.9180  |   0.8976  |               |              3.1955  |
|          |      8  |      0.6717  |     0.9336  |   0.9030  |               |              3.5815  |
|          |      9  |      0.1620  |     0.9688  |   0.9311  |               |              3.9375  |
|          |   eval  |      0.1620  |     0.9688  |   0.9311  |       0.9381  |              4.1097  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.8805  |     0.6875  |   0.5939  |               |              0.4236  |
|          |      1  |      1.7922  |     0.7998  |   0.7484  |               |              0.8436  |
|          |      2  |      1.7517  |     0.8213  |   0.8010  |               |              1.2639  |
|          |      3  |      1.7170  |     0.8457  |   0.8042  |               |              1.6513  |
|          |      4  |      1.6830  |     0.8936  |   0.8617  |               |              2.0390  |
|          |      5  |      1.6744  |     0.8965  |   0.8636  |               |              2.4262  |
|          |      6  |      1.6549  |     0.9199  |   0.8897  |               |              2.8122  |
|          |      7  |      1.3692  |     0.9268  |   0.8938  |               |              3.1989  |
|          |      8  |      0.6578  |     0.9502  |   0.8943  |               |              3.5856  |
|          |      9  |      0.1655  |     0.9668  |   0.9292  |               |              3.9414  |
|          |   eval  |      0.1655  |     0.9668  |   0.9292  |       0.9365  |              4.1137  |
------------------------------------------------------------------------------------------------------
Mean accuracy: 0.9375    Std: 0.0011
Mean training time (s): 3.9360    Std: 0.0279
/workspace/ESE3060-Final-Project/logs/dynamic_ls/20251209-022038/log.pt
