------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4258  |     0.7178  |   0.6568  |               |              0.4235  |
|          |      1  |      1.2510  |     0.8115  |   0.7314  |               |              0.8452  |
|          |      2  |      1.2227  |     0.8223  |   0.7781  |               |              1.2700  |
|          |      3  |      1.1357  |     0.8701  |   0.8325  |               |              1.6565  |
|          |      4  |      1.1426  |     0.8691  |   0.8607  |               |              2.0474  |
|          |      5  |      1.0811  |     0.8965  |   0.8486  |               |              2.4354  |
|          |      6  |      1.0420  |     0.9199  |   0.8548  |               |              2.8248  |
|          |      7  |      1.0078  |     0.9336  |   0.8983  |               |              3.2135  |
|          |      8  |      0.9673  |     0.9629  |   0.9190  |               |              3.6021  |
|          |      9  |      0.9409  |     0.9766  |   0.9300  |               |              3.9603  |
|          |   eval  |      0.9409  |     0.9766  |   0.9300  |       0.9400  |              4.1321  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4316  |     0.6885  |   0.6761  |               |              0.4253  |
|          |      1  |      1.2441  |     0.8125  |   0.7445  |               |              0.8472  |
|          |      2  |      1.2197  |     0.8271  |   0.7872  |               |              1.2713  |
|          |      3  |      1.1621  |     0.8721  |   0.8254  |               |              1.6602  |
|          |      4  |      1.1230  |     0.8770  |   0.8574  |               |              2.0494  |
|          |      5  |      1.0928  |     0.8984  |   0.8376  |               |              2.4389  |
|          |      6  |      1.0371  |     0.9355  |   0.8828  |               |              2.8280  |
|          |      7  |      1.0273  |     0.9268  |   0.9053  |               |              3.2174  |
|          |      8  |      0.9746  |     0.9570  |   0.9223  |               |              3.6050  |
|          |      9  |      0.9492  |     0.9785  |   0.9303  |               |              3.9630  |
|          |   eval  |      0.9492  |     0.9785  |   0.9303  |       0.9401  |              4.1357  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4092  |     0.7178  |   0.6933  |               |              0.4246  |
|          |      1  |      1.2529  |     0.8174  |   0.7790  |               |              0.8483  |
|          |      2  |      1.2207  |     0.8252  |   0.7104  |               |              1.2727  |
|          |      3  |      1.1553  |     0.8594  |   0.8035  |               |              1.6606  |
|          |      4  |      1.0908  |     0.8975  |   0.8609  |               |              2.0494  |
|          |      5  |      1.1055  |     0.8867  |   0.8652  |               |              2.4391  |
|          |      6  |      1.0303  |     0.9287  |   0.8706  |               |              2.8276  |
|          |      7  |      1.0098  |     0.9375  |   0.8854  |               |              3.2169  |
|          |      8  |      0.9692  |     0.9551  |   0.9178  |               |              3.6063  |
|          |      9  |      0.9497  |     0.9775  |   0.9289  |               |              3.9631  |
|          |   eval  |      0.9497  |     0.9775  |   0.9289  |       0.9378  |              4.1341  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.3838  |     0.7305  |   0.6774  |               |              0.4237  |
|          |      1  |      1.2490  |     0.8057  |   0.7822  |               |              0.8467  |
|          |      2  |      1.2168  |     0.8252  |   0.7240  |               |              1.2722  |
|          |      3  |      1.1357  |     0.8818  |   0.8353  |               |              1.6597  |
|          |      4  |      1.1133  |     0.8770  |   0.8585  |               |              2.0522  |
|          |      5  |      1.0742  |     0.9004  |   0.8497  |               |              2.4392  |
|          |      6  |      1.0342  |     0.9199  |   0.8763  |               |              2.8312  |
|          |      7  |      1.0186  |     0.9355  |   0.9041  |               |              3.2191  |
|          |      8  |      0.9663  |     0.9668  |   0.9204  |               |              3.6073  |
|          |      9  |      0.9448  |     0.9756  |   0.9300  |               |              3.9683  |
|          |   eval  |      0.9448  |     0.9756  |   0.9300  |       0.9363  |              4.1389  |
------------------------------------------------------------------------------------------------------
Mean accuracy: 0.9384    Std: 0.0012
Mean training time (s): 3.9366    Std: 0.0266
/workspace/ESE3060-Final-Project/logs/orbit_aug/20251209-022342/log.pt
